project,views_sum,processed_views_mean
ht.m,4248,1.3093220338983051
ht.m.s,858,1.6526806526806528
ht.s,409,1.0342298288508558
hu,479453,32.762712924937375
hu.b,2424,1.683168316831683
hu.d,6277,2.054325314640752
hu.m,1109547,270.15452342262205
hu.m.b,3239,2.464032108675517
hu.m.d,53129,1.3270906661145514
hu.m.n,237,2.839662447257384
hu.m.q,617,2.3841166936790925
hu.m.s,6111,1.034364261168385
hu.n,563,5.827708703374778
hu.q,646,2.7430340557275543
hu.s,1689,1.2936648904677324
hy,44162,4.18459308908111
hy.b,227,3.960352422907489
hy.d,4024,2.492544731610338
hy.m,149922,3.0187430797347954
hy.m.b,311,2.7041800643086815
hy.m.d,14671,1.5811464794492536
hy.m.q,509,1.7269155206286837
hy.m.s,15081,1.8622770373317419
hy.q,383,1.5639686684073106
hy.s,3494,1.281625643961076
hyw,2132,2.550656660412758
hyw.m,2346,1.2651321398124467
hz,202,6.594059405940594
hz.m,46,1.826086956521739
ia,4912,2.1083061889250816
ia.b,163,5.441717791411043
ia.d,333,6.237237237237237
ia.m,2285,1.3536105032822756
ia.m.b,26,1.1538461538461537
ia.m.d,238,1.1176470588235294
id,716974,53.4595117814593
id.b,3485,2.8938307030129127
id.d,15204,8.183109707971587
id.m,3414374,126.10730576088032
id.m.b,10452,12.986988136241868
id.m.d,91714,18.941557450334738
id.m.m,105,2.4857142857142858
id.m.q,2098,4.311725452812202
id.m.s,14070,4.791613361762615
id.q,831,3.4163658243080626
id.s,4835,10.461840744570837
ie,2490,2.208835341365462
ie.b,103,4.339805825242719
ie.d,262,4.106870229007634
ie.m,1127,1.5199645075421473
ie.m.b,27,1.3703703703703705
ie.m.d,170,1.1647058823529413
ig,6623,7.680960289898837
ig.d,103,2.6699029126213594
ig.m,31946,729.1916358855568
ig.m.d,103,1.174757281553398
ig.m.q,209,2.1196172248803826
ig.q,123,1.6016260162601625
igl,251,6.824701195219124
igl.m,299,1.2006688963210703
ii,79,1.5316455696202531
ii.m,44,1.2272727272727273
ik,748,5.016042780748663
ik.d,77,3.311688311688312
ik.m,230,1.7826086956521738
ik.m.d,21,1.380952380952381
il.m,7,1
ilo,4121,2.183693278330502
ilo.m,3709,1.149905634942033
incubator.m,17597,3.0211399670398364
incubator.m.m,33905,1.3718035687951629
inh,3326,3.58749248346362
inh.m,710,2.6619718309859155
io,7103,1.9246797127974096
io.d,2042,3.4103819784524974
io.m,33155,4.423616347458905
io.m.d,3687,1.1052346080824518
is,19518,2.759913925607132
is.b,297,1.9292929292929293
is.d,1510,4.3827814569536425
is.m,22212,5.037907437421214
is.m.b,183,1.3715846994535519
is.m.d,2332,1.2367066895368781
is.m.q,87,1.2298850574712643
is.m.s,1601,1.0674578388507183
is.q,98,2.5510204081632653
is.s,613,1.466557911908646
it,3041898,229.26975329218797
it.b,5177,2.568862275449102
it.d,14100,2.6382978723404253
it.m,10333719,481.70910966322964
it.m.b,5078,2.7073651043718
it.m.d,27017,2.0303142465854833
it.m.n,1548,1.483204134366925
it.m.q,25431,4.955172820573316
it.m.s,117918,1.5003137773707151
it.m.v,6391,1.8803004224690971
it.m.voy,9415,18.53011152416357
it.n,2875,17.131478260869564
it.q,13260,4.376923076923077
it.s,19140,8.195506792058517
it.v,3612,2.586932447397564
it.voy,6272,8.441326530612244
iu,691,5.555716353111433
iu.d,359,5.027855153203342
iu.m,232,1.7327586206896552
iu.m.d,65,1.4307692307692308
ja,9325380,570.2665461353854
ja.b,21819,7.723864521747101
ja.d,46381,3.357473965632479
ja.m,18040794,431.7935829210178
ja.m.b,18534,3.7744685442969677
ja.m.d,49196,3.3871046426538745
ja.m.n,2422,4.3781998348472335
ja.m.q,1325,2.5275471698113208
ja.m.s,11654,3.130770550883817
ja.m.v,1160,2.089655172413793
ja.m.voy,753,2.3864541832669324
ja.n,2664,5.671921921921922
ja.q,831,2.696750902527076
ja.s,5963,2.979540499748449
ja.v,681,2.7944199706314246
ja.voy,845,2.046153846153846
jam,1170,3.2905982905982905
jam.m,1340,1.5462686567164179
jbo,1253,3.327214684756584
jbo.d,211,3.5687203791469195
jbo.m,1255,1.5466135458167332
jbo.m.d,82,1.0731707317073171
jv,10010,1.8231768231768233
jv.d,623,5.430176565008026
jv.m,25392,1.8933522369250158
jv.m.d,3142,5.9700827498408655
jv.m.s,1440,1.1027777777777779
jv.s,1206,1.4162520729684909
ka,51564,6.319370103172756
ka.b,162,2.185185185185185
ka.d,1093,4.655992680695334
ka.m,159038,18.85207308945032
ka.m.b,168,1.2738095238095237
ka.m.d,1438,1.4422809457579973
ka.m.q,421,1.850356294536817
ka.m.s,147,1.0952380952380953
ka.q,376,3.5904255319148937
ka.s,166,1.6506024096385543
kaa,2113,3.089919545669664
kaa.d,84,3.238095238095238
kaa.m,2247,1.3266577659101024
kaa.m.d,38,1.368421052631579
