project,views,processed_views
hu.m.s,6111,1.336325170694703
hu.n,563,17.741825867369347
hu.q,646,3.9821066335388586
hu.s,1689,1.9455307360339045
hy,44162,5.535419023927031
hy.b,227,7.66400966183575
hy.d,4024,3.790042539066618
hy.m,149922,4.2398112127996175
hy.m.b,311,4.301358742267833
hy.m.d,14671,1.7495645640123592
hy.m.q,509,2.084832377824861
hy.m.s,15081,3.290251131503717
hy.q,383,1.7816779635315105
hy.s,3494,1.5580010350041744
hyw,2132,3.3023818130718103
hyw.m,2346,1.369947919209143
hz,202,21.45217391304348
hz.m,46,3.2777777777777777
ia,4912,2.565095160691499
ia.b,163,4.940589334907517
ia.d,333,20.5371236309739
ia.m,2285,1.6151193942551416
ia.m.b,26,1.375
ia.m.d,238,1.2952880452880453
id,716974,95.71067557830675
id.b,3485,4.246177741227797
id.d,15204,12.679706909638279
id.m,3414374,367.45075882002374
id.m.b,10452,26.82224879234137
id.m.d,91714,34.9972147678687
id.m.m,105,4.166856060606061
id.m.q,2098,7.932684280775668
id.m.s,14070,11.674324672288762
id.q,831,5.781422931733254
id.s,4835,19.668260988872166
ie,2490,2.7896085337922965
ie.b,103,6.335374149659864
ie.d,262,8.079189213564213
ie.m,1127,1.708766326604228
ie.m.b,27,1.7045454545454546
ie.m.d,170,1.222222222222222
ig,6623,14.373413267214817
ig.d,103,4.655797101449275
ig.m,31946,4944.345825495385
ig.m.d,103,1.2216931216931217
ig.m.q,209,3.2116612554112556
ig.q,123,1.8473214285714286
igl,251,24.537301587301588
igl.m,299,2.587995337995338
ii,79,1.7380952380952381
ii.m,44,1.222222222222222
ik,748,9.164535341820937
ik.d,77,8.92361111111111
ik.m,230,2.4512190355940358
ik.m.d,21,1.9166666666666667
il.m,7,1.0
ilo,4121,2.7424023458175455
ilo.m,3709,1.2161604708697134
incubator.m,17597,4.313114311546658
incubator.m.m,33905,2.95862081494838
inh,3326,6.2992408531303425
inh.m,710,3.0211646896356847
io,7103,2.2590449515258357
io.d,2042,5.74138186297121
io.m,33155,2.236717916236739
io.m.d,3687,1.1778726102231318
is,19518,3.4036351414865718
is.b,297,2.31068087005587
is.d,1510,8.719838576607737
is.m,22212,5.893687025959415
is.m.b,183,1.6234421304753786
is.m.d,2332,1.3040427568491038
is.m.q,87,1.5086956521739132
is.m.s,1601,1.3646761031191976
is.q,98,3.329710144927536
is.s,613,2.7831228200895537
it,3041898,398.65484269668417
it.b,5177,3.575516433610481
it.d,14100,3.5664226701055655
it.m,10333719,1238.6084409696343
it.m.b,5078,4.069666846212056
it.m.d,27017,2.3651241119015034
it.m.n,1548,1.7889221499794592
it.m.q,25431,6.703027776348648
it.m.s,117918,4.929942592905797
it.m.v,6391,3.1077840954922293
it.m.voy,9415,20.275941644680753
it.n,2875,37.824163857624185
it.q,13260,6.161220426465369
it.s,19140,10.90837824267905
it.v,3612,3.9818182677026814
it.voy,6272,12.160492036754428
iu,691,10.104852835673748
iu.d,359,9.068442205942207
iu.m,232,2.0726776695526694
iu.m.d,65,1.9345238095238095
ja,9325380,1409.232001752718
ja.b,21819,14.479718778882452
ja.d,46381,3.9406818255823612
ja.m,18040794,1364.8441719030743
ja.m.b,18534,5.28077762052766
ja.m.d,49196,4.221351444433501
ja.m.n,2422,7.139918710854807
ja.m.q,1325,3.520756084331127
ja.m.s,11654,7.2701586216207055
ja.m.v,1160,4.140714439684031
ja.m.voy,753,2.6099145407599695
ja.n,2664,8.354118928018433
ja.q,831,3.8793002680171824
ja.s,5963,4.371636018538985
ja.v,681,4.359911883244894
ja.voy,845,3.1176707208487713
jam,1170,4.805922997129244
jam.m,1340,1.6377470680749386
jbo,1253,4.908832370992317
jbo.d,211,7.402447089947089
jbo.m,1255,1.8120630576704049
jbo.m.d,82,1.1409090909090909
jv,10010,2.2141207090214867
jv.d,623,13.597640493646663
jv.m,25392,3.7193565649838884
jv.m.d,3142,7.434514911563581
jv.m.s,1440,1.2297115597122745
jv.s,1206,2.5956572199697647
ka,51564,7.478399013576872
ka.b,162,2.9616612554112556
ka.d,1093,10.53730360656467
ka.m,159038,29.884386743977018
ka.m.b,168,1.528888146167558
ka.m.d,1438,1.663889963134187
ka.m.q,421,2.386254424904126
ka.m.s,147,1.4313970588235294
ka.q,376,5.3766529163268295
ka.s,166,4.733247592665875
kaa,2113,4.262597195640505
kaa.d,84,8.904166666666667
kaa.m,2247,1.4528897007288493
kaa.m.d,38,2.1875
kab,1895,3.1931582029319348
kab.m,4649,1.195425142481297
kbd,894,8.189232538497889
kbd.d,410,3.590044162826421
kbd.m,341,2.1593945991730434
kbd.m.d,1377,3.6121186915174195
kbp,1044,5.002111253952497
kbp.m,1136,1.2796866538677742
